,transcript,id,tissue,expr,SE,lb,ub,PAN.LIV_q,PAN.KID_q,KID.LIV_q,PAN.LIV.KID_q,shortName,gene,GO,geneLink,transcriptLink
130090,uc007aft,32,kidney,6.99,0.56,6.43,7.55,0.31647034,0.528357917,0.007366336,0.013314666,Rb1cc1,Rb1cc1,"autophagic vacuole assembly|pre-autophagosomal structure|liver development|positive regulation of protein phosphorylation|protein binding|intracellular|nucleus|nucleus|cytoplasm|cytoplasm|transcription, DNA-templated|regulation of transcription, DNA-templated|autophagy|cell cycle|JNK cascade|heart development|regulation of autophagy|protein kinase binding|nuclear membrane|pre-autophagosomal structure membrane|ATG1/UKL1 signaling complex|negative regulation of apoptotic process|positive regulation of cell size|ULK1-ATG13-FIP200 complex|ULK1-ATG13-FIP200 complex|negative regulation of extrinsic apoptotic signaling pathway|",<a href = 'http://www.ncbi.nlm.nih.gov/gene/12421' target = '_blank'>Rb1cc1</a>,<a href = 'https://genome.ucsc.edu/cgi-bin/hgGene?hgg_gene=uc007aft.2' target = '_blank'>uc007aft</a>
130091,uc007afu,33,kidney,6.32,0.55,5.78,6.87,0.338615612,0.370022657,0.020277592,0.029816689,Rb1cc1,Rb1cc1,"autophagic vacuole assembly|pre-autophagosomal structure|liver development|positive regulation of protein phosphorylation|protein binding|intracellular|nucleus|nucleus|cytoplasm|cytoplasm|transcription, DNA-templated|regulation of transcription, DNA-templated|autophagy|cell cycle|JNK cascade|heart development|regulation of autophagy|protein kinase binding|nuclear membrane|pre-autophagosomal structure membrane|ATG1/UKL1 signaling complex|negative regulation of apoptotic process|positive regulation of cell size|ULK1-ATG13-FIP200 complex|ULK1-ATG13-FIP200 complex|negative regulation of extrinsic apoptotic signaling pathway|",<a href = 'http://www.ncbi.nlm.nih.gov/gene/12421' target = '_blank'>Rb1cc1</a>,<a href = 'https://genome.ucsc.edu/cgi-bin/hgGene?hgg_gene=uc007afu.2' target = '_blank'>uc007afu</a>
130092,uc007afv,34,kidney,0,0,0,0,0.434911443,0.408534864,0.39956677,0.377751291,Fam150a,Fam150a,molecular_function|cellular_component|biological_process|,<a href = 'http://www.ncbi.nlm.nih.gov/gene/620393' target = '_blank'>Fam150a</a>,<a href = 'https://genome.ucsc.edu/cgi-bin/hgGene?hgg_gene=uc007afv.2' target = '_blank'>uc007afv</a>
130093,uc007afw,35,kidney,0,0,0,0,0.278224365,0.528894085,0.633435292,0.219764346,St18,St18,"negative regulation of transcription from RNA polymerase II promoter|negative regulation of transcription from RNA polymerase II promoter|DNA binding|DNA binding|sequence-specific DNA binding transcription factor activity|nucleus|transcription, DNA-templated|regulation of transcription, DNA-templated|zinc ion binding|metal ion binding|",<a href = 'http://www.ncbi.nlm.nih.gov/gene/240690' target = '_blank'>St18</a>,<a href = 'https://genome.ucsc.edu/cgi-bin/hgGene?hgg_gene=uc007afw.1' target = '_blank'>uc007afw</a>
130094,uc007afx,36,kidney,0,0,0,0,0.278224365,0.528894085,0.633435292,0.219764346,St18,St18,"negative regulation of transcription from RNA polymerase II promoter|negative regulation of transcription from RNA polymerase II promoter|DNA binding|DNA binding|sequence-specific DNA binding transcription factor activity|nucleus|transcription, DNA-templated|regulation of transcription, DNA-templated|zinc ion binding|metal ion binding|",<a href = 'http://www.ncbi.nlm.nih.gov/gene/240690' target = '_blank'>St18</a>,<a href = 'https://genome.ucsc.edu/cgi-bin/hgGene?hgg_gene=uc007afx.1' target = '_blank'>uc007afx</a>
130095,uc029qmq,37,kidney,0,0,0,0,NA,NA,NA,NA,uc029qmq.1,uc029qmq,,,
130096,uc007aga,38,kidney,0,0,0,0,0.278224365,0.528894085,0.633435292,0.219764346,St18,St18,"negative regulation of transcription from RNA polymerase II promoter|negative regulation of transcription from RNA polymerase II promoter|DNA binding|DNA binding|sequence-specific DNA binding transcription factor activity|nucleus|transcription, DNA-templated|regulation of transcription, DNA-templated|zinc ion binding|metal ion binding|",<a href = 'http://www.ncbi.nlm.nih.gov/gene/240690' target = '_blank'>St18</a>,<a href = 'https://genome.ucsc.edu/cgi-bin/hgGene?hgg_gene=uc007aga.1' target = '_blank'>uc007aga</a>
130097,uc007afy,39,kidney,0,0,0,0,0.278224365,0.528894085,0.633435292,0.219764346,St18,St18,"negative regulation of transcription from RNA polymerase II promoter|negative regulation of transcription from RNA polymerase II promoter|DNA binding|DNA binding|sequence-specific DNA binding transcription factor activity|nucleus|transcription, DNA-templated|regulation of transcription, DNA-templated|zinc ion binding|metal ion binding|",<a href = 'http://www.ncbi.nlm.nih.gov/gene/240690' target = '_blank'>St18</a>,<a href = 'https://genome.ucsc.edu/cgi-bin/hgGene?hgg_gene=uc007afy.1' target = '_blank'>uc007afy</a>
130098,uc007afz,40,kidney,0,0,0,0,0.278224365,0.528894085,0.633435292,0.219764346,St18,St18,"negative regulation of transcription from RNA polymerase II promoter|negative regulation of transcription from RNA polymerase II promoter|DNA binding|DNA binding|sequence-specific DNA binding transcription factor activity|nucleus|transcription, DNA-templated|regulation of transcription, DNA-templated|zinc ion binding|metal ion binding|",<a href = 'http://www.ncbi.nlm.nih.gov/gene/240690' target = '_blank'>St18</a>,<a href = 'https://genome.ucsc.edu/cgi-bin/hgGene?hgg_gene=uc007afz.1' target = '_blank'>uc007afz</a>
130099,uc007agb,41,kidney,14.63,1.28,13.35,15.91,0.26943264,0.653296782,0.169334198,0.255568477,Pcmtd1,Pcmtd1,molecular_function|protein-L-isoaspartate (D-aspartate) O-methyltransferase activity|cellular_component|cytoplasm|cellular protein modification process|biological_process|methyltransferase activity|transferase activity|methylation|,<a href = 'http://www.ncbi.nlm.nih.gov/gene/319263' target = '_blank'>Pcmtd1</a>,<a href = 'https://genome.ucsc.edu/cgi-bin/hgGene?hgg_gene=uc007agb.1' target = '_blank'>uc007agb</a>
130100,uc007agc,42,kidney,14.94,1.19,13.76,16.13,0.347102778,0.674731642,0.154242726,0.263262071,Pcmtd1,Pcmtd1,molecular_function|protein-L-isoaspartate (D-aspartate) O-methyltransferase activity|cellular_component|cytoplasm|cellular protein modification process|biological_process|methyltransferase activity|transferase activity|methylation|,<a href = 'http://www.ncbi.nlm.nih.gov/gene/319263' target = '_blank'>Pcmtd1</a>,<a href = 'https://genome.ucsc.edu/cgi-bin/hgGene?hgg_gene=uc007agc.1' target = '_blank'>uc007agc</a>
130101,uc011why,43,kidney,14.69,1.02,13.67,15.72,0.417171936,0.561451826,0.132809434,0.285090741,Pcmtd1,Pcmtd1,molecular_function|protein-L-isoaspartate (D-aspartate) O-methyltransferase activity|cellular_component|cytoplasm|cellular protein modification process|biological_process|methyltransferase activity|transferase activity|methylation|,<a href = 'http://www.ncbi.nlm.nih.gov/gene/319263' target = '_blank'>Pcmtd1</a>,<a href = 'https://genome.ucsc.edu/cgi-bin/hgGene?hgg_gene=uc011why.1' target = '_blank'>uc011why</a>
130102,uc011whw,44,kidney,0,0,0,0,NA,NA,NA,NA,Npbwr1,Npbwr1,signal transducer activity|G-protein coupled receptor activity|plasma membrane|signal transduction|G-protein coupled receptor signaling pathway|neuropeptide receptor activity|membrane|integral component of membrane|regulation of metabolic process|,<a href = 'http://www.ncbi.nlm.nih.gov/gene/226304' target = '_blank'>Npbwr1</a>,<a href = 'https://genome.ucsc.edu/cgi-bin/hgGene?hgg_gene=uc011whw.1' target = '_blank'>uc011whw</a>
130103,uc007age,45,kidney,0.13,0.03,0.09,0.16,0.85737401,0.084748854,0.609790685,0.927660161,uc007age.1,uc007age,,,
130104,uc007agf,46,kidney,0.03,0.01,0.02,0.04,0.281405329,0.408534864,0.39956677,0.377751291,uc007agf.1,uc007agf,,,
130105,uc029qmr,47,kidney,0,0,0,0,NA,NA,NA,NA,uc029qmr.1,uc029qmr,,,
130106,uc029qms,48,kidney,0,0,0,0,NA,NA,NA,NA,uc029qms.1,uc029qms,,,
130107,NM_001290390(ref,49,kidney,0.01,0.01,0,0.03,0.712244611,0.00010207,0.041446271,0.040689465,NA,NA,NA,NA,NA
130108,NM_001290392(ref,50,kidney,0.01,0.01,0,0.03,0.740160208,0.000101216,0.041446271,0.040689465,NA,NA,NA,NA,NA
65030,uc007aet,1,liver,0.02,0.01,0.01,0.03,0.009757068,0.002814361,0.002757336,0.001828455,uc007aet.1,uc007aet,,,
65031,uc007aeu,2,liver,0.01,0.01,0.01,0.02,0.000174995,7.97E-06,1.28E-05,5.05E-06,Xkr4,Xkr4,molecular_function|cellular_component|biological_process|membrane|integral component of membrane|,<a href = 'http://www.ncbi.nlm.nih.gov/gene/497097' target = '_blank'>Xkr4</a>,<a href = 'https://genome.ucsc.edu/cgi-bin/hgGene?hgg_gene=uc007aeu.1' target = '_blank'>uc007aeu</a>
65032,uc007aev,3,liver,0.02,0.01,0.01,0.03,0.042871638,0.004587286,0.009870344,0.000914449,uc007aev.1,uc007aev,,,
65033,uc007aew,4,liver,0.15,0.03,0.12,0.18,0.354735373,2.42E-09,0.00018831,0.009071075,Rp1,Rp1,photoreceptor outer segment|photoreceptor inner segment|photoreceptor inner segment|cytoplasm|cytoskeleton|microtubule associated complex|cilium|axoneme|negative regulation of microtubule depolymerization|visual perception|microtubule binding|cell projection organization|photoreceptor connecting cilium|photoreceptor connecting cilium|axoneme assembly|intracellular signal transduction|photoreceptor cell outer segment organization|photoreceptor cell development|cell projection|photoreceptor cell maintenance|retinal rod cell development|retinal cone cell development|microtubule polymerization|response to stimulus|retina development in camera-type eye|retina morphogenesis in camera-type eye|cellular response to light stimulus|,<a href = 'http://www.ncbi.nlm.nih.gov/gene/19888' target = '_blank'>Rp1</a>,<a href = 'https://genome.ucsc.edu/cgi-bin/hgGene?hgg_gene=uc007aew.1' target = '_blank'>uc007aew</a>
65034,uc007aex,5,liver,0.07,0.01,0.06,0.08,0.329530391,8.38E-09,3.82E-05,0.001215517,Rp1,Rp1,photoreceptor outer segment|photoreceptor inner segment|photoreceptor inner segment|cytoplasm|cytoskeleton|microtubule associated complex|cilium|axoneme|negative regulation of microtubule depolymerization|visual perception|microtubule binding|cell projection organization|photoreceptor connecting cilium|photoreceptor connecting cilium|axoneme assembly|intracellular signal transduction|photoreceptor cell outer segment organization|photoreceptor cell development|cell projection|photoreceptor cell maintenance|retinal rod cell development|retinal cone cell development|microtubule polymerization|response to stimulus|retina development in camera-type eye|retina morphogenesis in camera-type eye|cellular response to light stimulus|,<a href = 'http://www.ncbi.nlm.nih.gov/gene/19888' target = '_blank'>Rp1</a>,<a href = 'https://genome.ucsc.edu/cgi-bin/hgGene?hgg_gene=uc007aex.2' target = '_blank'>uc007aex</a>
65035,uc007aey,6,liver,2.33,0.11,2.22,2.43,0.418119018,0.005615199,0.585474739,0.083776206,Sox17,Sox17,"negative regulation of transcription from RNA polymerase II promoter|sequence-specific DNA binding RNA polymerase II transcription factor activity|angiogenesis|vasculogenesis|endoderm formation|inner cell mass cellular morphogenesis|heart looping|cardiogenic plate morphogenesis|embryonic heart tube morphogenesis|outflow tract morphogenesis|negative regulation of Wnt signaling pathway involved in heart development|DNA binding|sequence-specific DNA binding transcription factor activity|RNA polymerase II distal enhancer sequence-specific DNA binding transcription factor activity|transcription coactivator activity|protein binding|nucleus|nucleus|transcription factor complex|transcription, DNA-templated|regulation of transcription, DNA-templated|transcription from RNA polymerase II promoter|spermatogenesis|gastrulation|endoderm development|endodermal cell fate determination|beta-catenin binding|transcription factor binding|positive regulation of gene expression|Wnt signaling pathway|rostrocaudal neural tube patterning|signal transduction involved in regulation of gene expression|negative regulation of Wnt signaling pathway|negative regulation of Wnt signaling pathway|negative regulation of cell growth|protein destabilization|embryonic heart tube development|cell migration involved in gastrulation|regulation of mesodermal cell fate specification|negative regulation of mesodermal cell fate specification|mRNA transcription from RNA polymerase II promoter|sequence-specific DNA binding|transcription regulatory region DNA binding|nuclear transcription factor complex|regulation of cell differentiation|positive regulation of cell differentiation|positive regulation of cell differentiation|positive regulation of protein catabolic process|positive regulation of transcription, DNA-templated|positive regulation of transcription from RNA polymerase II promoter|positive regulation of transcription from RNA polymerase II promoter|regulation of embryonic development|protein heterodimerization activity|embryonic organ development|embryonic foregut morphogenesis|positive regulation of skeletal muscle tissue development|stem cell differentiation|stem cell fate specification|protein stabilization|canonical Wnt signaling pathway|endocardium formation|regulation of transcription from RNA polymerase II promoter involved in definitive endodermal cell fate specification|cardiac cell fate determination|endocardial cell differentiation|common bile duct development|gall bladder development|endodermal digestive tract morphogenesis|renal system development|regulation of stem cell proliferation|negative regulation of canonical Wnt signaling pathway|regulation of stem cell division|regulation of cardiac cell fate specification|",<a href = 'http://www.ncbi.nlm.nih.gov/gene/20671' target = '_blank'>Sox17</a>,<a href = 'https://genome.ucsc.edu/cgi-bin/hgGene?hgg_gene=uc007aey.1' target = '_blank'>uc007aey</a>
65036,uc007afc,7,liver,2.21,0.11,2.1,2.32,0.193740759,0.002194631,0.4403494,0.068522522,Sox17,Sox17,"negative regulation of transcription from RNA polymerase II promoter|sequence-specific DNA binding RNA polymerase II transcription factor activity|angiogenesis|vasculogenesis|endoderm formation|inner cell mass cellular morphogenesis|heart looping|cardiogenic plate morphogenesis|embryonic heart tube morphogenesis|outflow tract morphogenesis|negative regulation of Wnt signaling pathway involved in heart development|DNA binding|sequence-specific DNA binding transcription factor activity|RNA polymerase II distal enhancer sequence-specific DNA binding transcription factor activity|transcription coactivator activity|protein binding|nucleus|nucleus|transcription factor complex|transcription, DNA-templated|regulation of transcription, DNA-templated|transcription from RNA polymerase II promoter|spermatogenesis|gastrulation|endoderm development|endodermal cell fate determination|beta-catenin binding|transcription factor binding|positive regulation of gene expression|Wnt signaling pathway|rostrocaudal neural tube patterning|signal transduction involved in regulation of gene expression|negative regulation of Wnt signaling pathway|negative regulation of Wnt signaling pathway|negative regulation of cell growth|protein destabilization|embryonic heart tube development|cell migration involved in gastrulation|regulation of mesodermal cell fate specification|negative regulation of mesodermal cell fate specification|mRNA transcription from RNA polymerase II promoter|sequence-specific DNA binding|transcription regulatory region DNA binding|nuclear transcription factor complex|regulation of cell differentiation|positive regulation of cell differentiation|positive regulation of cell differentiation|positive regulation of protein catabolic process|positive regulation of transcription, DNA-templated|positive regulation of transcription from RNA polymerase II promoter|positive regulation of transcription from RNA polymerase II promoter|regulation of embryonic development|protein heterodimerization activity|embryonic organ development|embryonic foregut morphogenesis|positive regulation of skeletal muscle tissue development|stem cell differentiation|stem cell fate specification|protein stabilization|canonical Wnt signaling pathway|endocardium formation|regulation of transcription from RNA polymerase II promoter involved in definitive endodermal cell fate specification|cardiac cell fate determination|endocardial cell differentiation|common bile duct development|gall bladder development|endodermal digestive tract morphogenesis|renal system development|regulation of stem cell proliferation|negative regulation of canonical Wnt signaling pathway|regulation of stem cell division|regulation of cardiac cell fate specification|",<a href = 'http://www.ncbi.nlm.nih.gov/gene/20671' target = '_blank'>Sox17</a>,<a href = 'https://genome.ucsc.edu/cgi-bin/hgGene?hgg_gene=uc007afc.2' target = '_blank'>uc007afc</a>
65037,uc007afa,8,liver,2.52,0.16,2.36,2.68,0.095401673,0.002869819,0.392227502,0.053022297,Sox17,Sox17,"negative regulation of transcription from RNA polymerase II promoter|sequence-specific DNA binding RNA polymerase II transcription factor activity|angiogenesis|vasculogenesis|endoderm formation|inner cell mass cellular morphogenesis|heart looping|cardiogenic plate morphogenesis|embryonic heart tube morphogenesis|outflow tract morphogenesis|negative regulation of Wnt signaling pathway involved in heart development|DNA binding|sequence-specific DNA binding transcription factor activity|RNA polymerase II distal enhancer sequence-specific DNA binding transcription factor activity|transcription coactivator activity|protein binding|nucleus|nucleus|transcription factor complex|transcription, DNA-templated|regulation of transcription, DNA-templated|transcription from RNA polymerase II promoter|spermatogenesis|gastrulation|endoderm development|endodermal cell fate determination|beta-catenin binding|transcription factor binding|positive regulation of gene expression|Wnt signaling pathway|rostrocaudal neural tube patterning|signal transduction involved in regulation of gene expression|negative regulation of Wnt signaling pathway|negative regulation of Wnt signaling pathway|negative regulation of cell growth|protein destabilization|embryonic heart tube development|cell migration involved in gastrulation|regulation of mesodermal cell fate specification|negative regulation of mesodermal cell fate specification|mRNA transcription from RNA polymerase II promoter|sequence-specific DNA binding|transcription regulatory region DNA binding|nuclear transcription factor complex|regulation of cell differentiation|positive regulation of cell differentiation|positive regulation of cell differentiation|positive regulation of protein catabolic process|positive regulation of transcription, DNA-templated|positive regulation of transcription from RNA polymerase II promoter|positive regulation of transcription from RNA polymerase II promoter|regulation of embryonic development|protein heterodimerization activity|embryonic organ development|embryonic foregut morphogenesis|positive regulation of skeletal muscle tissue development|stem cell differentiation|stem cell fate specification|protein stabilization|canonical Wnt signaling pathway|endocardium formation|regulation of transcription from RNA polymerase II promoter involved in definitive endodermal cell fate specification|cardiac cell fate determination|endocardial cell differentiation|common bile duct development|gall bladder development|endodermal digestive tract morphogenesis|renal system development|regulation of stem cell proliferation|negative regulation of canonical Wnt signaling pathway|regulation of stem cell division|regulation of cardiac cell fate specification|",<a href = 'http://www.ncbi.nlm.nih.gov/gene/20671' target = '_blank'>Sox17</a>,<a href = 'https://genome.ucsc.edu/cgi-bin/hgGene?hgg_gene=uc007afa.2' target = '_blank'>uc007afa</a>
65038,uc033fhy,9,liver,2.48,0.12,2.36,2.6,0.118033912,0.002233047,0.39956677,0.054255092,NA,NA,NA,NA,NA
65039,uc007afb,10,liver,2.41,0.12,2.29,2.53,0.14975025,0.002035387,0.397187559,0.056091467,Sox17,Sox17,"negative regulation of transcription from RNA polymerase II promoter|sequence-specific DNA binding RNA polymerase II transcription factor activity|angiogenesis|vasculogenesis|endoderm formation|inner cell mass cellular morphogenesis|heart looping|cardiogenic plate morphogenesis|embryonic heart tube morphogenesis|outflow tract morphogenesis|negative regulation of Wnt signaling pathway involved in heart development|DNA binding|sequence-specific DNA binding transcription factor activity|RNA polymerase II distal enhancer sequence-specific DNA binding transcription factor activity|transcription coactivator activity|protein binding|nucleus|nucleus|transcription factor complex|transcription, DNA-templated|regulation of transcription, DNA-templated|transcription from RNA polymerase II promoter|spermatogenesis|gastrulation|endoderm development|endodermal cell fate determination|beta-catenin binding|transcription factor binding|positive regulation of gene expression|Wnt signaling pathway|rostrocaudal neural tube patterning|signal transduction involved in regulation of gene expression|negative regulation of Wnt signaling pathway|negative regulation of Wnt signaling pathway|negative regulation of cell growth|protein destabilization|embryonic heart tube development|cell migration involved in gastrulation|regulation of mesodermal cell fate specification|negative regulation of mesodermal cell fate specification|mRNA transcription from RNA polymerase II promoter|sequence-specific DNA binding|transcription regulatory region DNA binding|nuclear transcription factor complex|regulation of cell differentiation|positive regulation of cell differentiation|positive regulation of cell differentiation|positive regulation of protein catabolic process|positive regulation of transcription, DNA-templated|positive regulation of transcription from RNA polymerase II promoter|positive regulation of transcription from RNA polymerase II promoter|regulation of embryonic development|protein heterodimerization activity|embryonic organ development|embryonic foregut morphogenesis|positive regulation of skeletal muscle tissue development|stem cell differentiation|stem cell fate specification|protein stabilization|canonical Wnt signaling pathway|endocardium formation|regulation of transcription from RNA polymerase II promoter involved in definitive endodermal cell fate specification|cardiac cell fate determination|endocardial cell differentiation|common bile duct development|gall bladder development|endodermal digestive tract morphogenesis|renal system development|regulation of stem cell proliferation|negative regulation of canonical Wnt signaling pathway|regulation of stem cell division|regulation of cardiac cell fate specification|",<a href = 'http://www.ncbi.nlm.nih.gov/gene/20671' target = '_blank'>Sox17</a>,<a href = 'https://genome.ucsc.edu/cgi-bin/hgGene?hgg_gene=uc007afb.2' target = '_blank'>uc007afb</a>
65040,uc007aez,11,liver,2.35,0.14,2.21,2.49,0.126119964,0.003095509,0.39956677,0.064403459,Sox17,Sox17,"negative regulation of transcription from RNA polymerase II promoter|sequence-specific DNA binding RNA polymerase II transcription factor activity|angiogenesis|vasculogenesis|endoderm formation|inner cell mass cellular morphogenesis|heart looping|cardiogenic plate morphogenesis|embryonic heart tube morphogenesis|outflow tract morphogenesis|negative regulation of Wnt signaling pathway involved in heart development|DNA binding|sequence-specific DNA binding transcription factor activity|RNA polymerase II distal enhancer sequence-specific DNA binding transcription factor activity|transcription coactivator activity|protein binding|nucleus|nucleus|transcription factor complex|transcription, DNA-templated|regulation of transcription, DNA-templated|transcription from RNA polymerase II promoter|spermatogenesis|gastrulation|endoderm development|endodermal cell fate determination|beta-catenin binding|transcription factor binding|positive regulation of gene expression|Wnt signaling pathway|rostrocaudal neural tube patterning|signal transduction involved in regulation of gene expression|negative regulation of Wnt signaling pathway|negative regulation of Wnt signaling pathway|negative regulation of cell growth|protein destabilization|embryonic heart tube development|cell migration involved in gastrulation|regulation of mesodermal cell fate specification|negative regulation of mesodermal cell fate specification|mRNA transcription from RNA polymerase II promoter|sequence-specific DNA binding|transcription regulatory region DNA binding|nuclear transcription factor complex|regulation of cell differentiation|positive regulation of cell differentiation|positive regulation of cell differentiation|positive regulation of protein catabolic process|positive regulation of transcription, DNA-templated|positive regulation of transcription from RNA polymerase II promoter|positive regulation of transcription from RNA polymerase II promoter|regulation of embryonic development|protein heterodimerization activity|embryonic organ development|embryonic foregut morphogenesis|positive regulation of skeletal muscle tissue development|stem cell differentiation|stem cell fate specification|protein stabilization|canonical Wnt signaling pathway|endocardium formation|regulation of transcription from RNA polymerase II promoter involved in definitive endodermal cell fate specification|cardiac cell fate determination|endocardial cell differentiation|common bile duct development|gall bladder development|endodermal digestive tract morphogenesis|renal system development|regulation of stem cell proliferation|negative regulation of canonical Wnt signaling pathway|regulation of stem cell division|regulation of cardiac cell fate specification|",<a href = 'http://www.ncbi.nlm.nih.gov/gene/20671' target = '_blank'>Sox17</a>,<a href = 'https://genome.ucsc.edu/cgi-bin/hgGene?hgg_gene=uc007aez.2' target = '_blank'>uc007aez</a>
65041,uc007aff,12,liver,16.66,0.34,16.32,17,0.025797491,5.55E-08,3.64E-09,6.04E-08,Mrpl15,Mrpl15,mitochondrial genome maintenance|structural constituent of ribosome|mitochondrion|mitochondrion|mitochondrial large ribosomal subunit|ribosome|translation|large ribosomal subunit|ribonucleoprotein complex|poly(A) RNA binding|,<a href = 'http://www.ncbi.nlm.nih.gov/gene/27395' target = '_blank'>Mrpl15</a>,<a href = 'https://genome.ucsc.edu/cgi-bin/hgGene?hgg_gene=uc007aff.3' target = '_blank'>uc007aff</a>
65042,uc007afd,13,liver,17.08,0.51,16.57,17.58,0.057154014,5.42E-06,9.14E-10,1.03E-08,Mrpl15,Mrpl15,mitochondrial genome maintenance|structural constituent of ribosome|mitochondrion|mitochondrion|mitochondrial large ribosomal subunit|ribosome|translation|large ribosomal subunit|ribonucleoprotein complex|poly(A) RNA binding|,<a href = 'http://www.ncbi.nlm.nih.gov/gene/27395' target = '_blank'>Mrpl15</a>,<a href = 'https://genome.ucsc.edu/cgi-bin/hgGene?hgg_gene=uc007afd.3' target = '_blank'>uc007afd</a>
65043,uc007afg,14,liver,14.46,0.81,13.65,15.27,0.829921044,0.002330614,0.001430535,4.44E-05,Lypla1,Lypla1,"protein depalmitoylation|lysophospholipase activity|cytoplasm|mitochondrion|cytosol|lipid metabolic process|fatty acid metabolic process|palmitoyl-(protein) hydrolase activity|CoA hydrolase activity|hydrolase activity|2-oxoglutaryl-CoA thioesterase activity|2,4,4-trimethyl-3-oxopentanoyl-CoA thioesterase activity|3-isopropylbut-3-enoyl-CoA thioesterase activity|negative regulation of Golgi to plasma membrane protein transport|glutaryl-CoA hydrolase activity|acyl-CoA hydrolase activity|extracellular vesicular exosome|",<a href = 'http://www.ncbi.nlm.nih.gov/gene/18777' target = '_blank'>Lypla1</a>,<a href = 'https://genome.ucsc.edu/cgi-bin/hgGene?hgg_gene=uc007afg.1' target = '_blank'>uc007afg</a>
65044,uc007afh,15,liver,50,4.76,45.24,54.76,0.912793149,0.901765078,0.004523592,0.000345117,Lypla1,Lypla1,"protein depalmitoylation|lysophospholipase activity|cytoplasm|mitochondrion|cytosol|lipid metabolic process|fatty acid metabolic process|palmitoyl-(protein) hydrolase activity|CoA hydrolase activity|hydrolase activity|2-oxoglutaryl-CoA thioesterase activity|2,4,4-trimethyl-3-oxopentanoyl-CoA thioesterase activity|3-isopropylbut-3-enoyl-CoA thioesterase activity|negative regulation of Golgi to plasma membrane protein transport|glutaryl-CoA hydrolase activity|acyl-CoA hydrolase activity|extracellular vesicular exosome|",<a href = 'http://www.ncbi.nlm.nih.gov/gene/18777' target = '_blank'>Lypla1</a>,<a href = 'https://genome.ucsc.edu/cgi-bin/hgGene?hgg_gene=uc007afh.1' target = '_blank'>uc007afh</a>
65045,uc011wht,16,liver,3.52,0.37,3.15,3.88,0.130240552,0.004494649,0.001679069,0.000359901,Tcea1,Tcea1,"nucleic acid binding|DNA binding|protein binding|nucleus|nucleoplasm|nucleolus|transcription, DNA-templated|regulation of transcription, DNA-templated|regulation of transcription from RNA polymerase II promoter|zinc ion binding|erythrocyte differentiation|regulation of DNA-templated transcription, elongation|positive regulation of transcription, DNA-templated|positive regulation of transcription from RNA polymerase II promoter|metal ion binding|",<a href = 'http://www.ncbi.nlm.nih.gov/gene/21399' target = '_blank'>Tcea1</a>,<a href = 'https://genome.ucsc.edu/cgi-bin/hgGene?hgg_gene=uc011wht.1' target = '_blank'>uc011wht</a>
65046,uc007afi,17,liver,3.51,0.36,3.15,3.88,0.130240552,0.004494649,0.001679069,0.00036322,Tcea1,Tcea1,"nucleic acid binding|DNA binding|protein binding|nucleus|nucleoplasm|nucleolus|transcription, DNA-templated|regulation of transcription, DNA-templated|regulation of transcription from RNA polymerase II promoter|zinc ion binding|erythrocyte differentiation|regulation of DNA-templated transcription, elongation|positive regulation of transcription, DNA-templated|positive regulation of transcription from RNA polymerase II promoter|metal ion binding|",<a href = 'http://www.ncbi.nlm.nih.gov/gene/21399' target = '_blank'>Tcea1</a>,<a href = 'https://genome.ucsc.edu/cgi-bin/hgGene?hgg_gene=uc007afi.2' target = '_blank'>uc007afi</a>
65047,uc007afe,18,liver,15.32,0.4,14.92,15.72,0.065681308,3.80E-06,1.49E-09,2.48E-08,Mrpl15,Mrpl15,mitochondrial genome maintenance|structural constituent of ribosome|mitochondrion|mitochondrion|mitochondrial large ribosomal subunit|ribosome|translation|large ribosomal subunit|ribonucleoprotein complex|poly(A) RNA binding|,<a href = 'http://www.ncbi.nlm.nih.gov/gene/27395' target = '_blank'>Mrpl15</a>,<a href = 'https://genome.ucsc.edu/cgi-bin/hgGene?hgg_gene=uc007afe.3' target = '_blank'>uc007afe</a>
65048,NM_001290372(ref,19,liver,0.02,0.01,0.01,0.03,0.884825693,0.060801211,0.192967565,0.220526471,NA,NA,NA,NA,NA
65049,uc007afk,20,liver,0.02,0.01,0.01,0.04,0.884825693,0.060801211,0.192967565,0.220526471,Rgs20,Rgs20,GTPase activator activity|GTPase activator activity|nucleus|cytoplasm|Golgi apparatus|plasma membrane|G-protein coupled receptor signaling pathway|negative regulation of signal transduction|membrane|termination of G-protein coupled receptor signaling pathway|positive regulation of GTPase activity|,<a href = 'http://www.ncbi.nlm.nih.gov/gene/58175' target = '_blank'>Rgs20</a>,<a href = 'https://genome.ucsc.edu/cgi-bin/hgGene?hgg_gene=uc007afk.2' target = '_blank'>uc007afk</a>
65050,NM_021374(refseq,21,liver,0.02,0.01,0.01,0.03,0.884825693,0.060801211,0.192967565,0.220526471,NA,NA,NA,NA,NA
