gene,ADRG1,ADRG2,AORT1,AORT2,BFAT1,BFAT2
Ing1,7.72098,7.73133,7.47416,7.51226,6.69799,6.85454
AC167122.1,4.36139,4.45718,4.14549,4.01222,3.51674,3.96753
Angpt1,5.63796,5.96783,7.32597,6.98123,7.49466,7.47178
Vmn1r13,4.07453,4.22553,3.80575,3.81742,3.60939,3.57013
Taf4b,6.95462,6.96455,6.39044,6.31194,6.33963,6.34816
Dnaja1,9.00129,9.34692,8.6373,8.53799,8.13829,8.38347
Mir1956,6.47541,6.47928,5.98322,6.18484,5.76582,5.87329
Tspyl4,6.81035,6.73698,6.32712,6.18592,5.42164,5.233
Ssbp4,8.6792,8.66241,7.60589,7.76098,7.21303,7.19367
Cited4,6.81498,7.0031,6.38761,6.40897,6.13891,6.1131
Slc22a18,6.79697,6.65075,6.30557,6.0551,6.12387,5.68051
Mamld1,9.48784,9.17079,8.60049,8.62341,8.32755,8.40088
Olfr985,5.09725,5.18852,4.52096,4.52642,4.66922,4.60028
Cyp2j6,6.93651,6.95527,7.11023,6.97273,7.2925,7.67264
Svep1,8.39965,8.55147,9.79606,9.65785,9.08808,9.19622
n-R5s40,5.50052,5.41954,5.42186,5.46984,5.00153,4.69796
Olfr1246,5.21746,5.17564,4.49982,4.40283,3.96951,3.88265
Pde4b,5.95435,5.81158,7.24603,7.00307,6.5064,6.25199
Il1r1,6.80513,6.80807,8.29516,8.06372,6.64999,6.73925
Mib1,8.77732,8.8428,8.01239,7.95673,7.3992,7.5008
Bdh1,5.60039,5.79241,5.67616,5.93731,4.45612,4.40331
Olfr399,4.89956,5.24708,5.35529,5.2606,5.04889,4.9023
Krtap31-2,4.77868,5.06371,4.83765,5.01635,4.5636,4.32118
Pop4,9.25402,9.15929,8.05875,7.90733,7.3423,7.5174
Stxbp2,8.73338,8.69496,8.13633,8.31996,8.31336,8.37428
Fut1,4.83198,4.69886,4.29743,4.50352,4.35091,3.96144
Zdhhc25,4.99125,4.81892,4.62082,4.66018,4.38564,4.14947
Adk,9.65332,9.69175,9.3849,9.26736,8.98507,9.28072
Prr7,7.5441,7.62505,6.89156,7.16611,6.54275,6.22213
Ribc2,5.25917,5.24529,4.84803,4.85025,5.00981,4.72881
Sfxn4,7.99348,7.95724,7.45283,7.34648,6.83717,7.13755
Scp2,7.69767,8.22157,9.307,9.20403,9.19895,9.43205
Il1rn,5.77978,5.8023,6.05759,6.17231,6.03376,5.89892
Fkbp15,8.69954,8.66611,8.20297,8.23499,7.58274,7.5832
Lgals12,8.68041,9.5126,10.462,10.2808,10.0206,10.215
Mtag2,4.92148,4.82316,4.0918,4.11596,4.03602,3.81017
Pla2g1b,5.28836,5.59559,5.468,5.53492,5.3055,4.94608
Gm12669,7.12715,7.19362,7.44566,7.35811,7.01248,7.09096
Dera,7.93477,7.88807,7.82018,7.9557,7.83661,8.10007
Shb,7.28832,7.38564,7.07681,7.24994,6.42634,6.63681
2610019F03Rik,7.55246,7.57361,6.51567,6.49956,6.67722,6.6538
AC150277.1,7.22766,7.29693,6.94983,6.88261,6.69217,6.48696
Pkdcc,7.11845,7.07984,7.44094,7.80322,5.63611,5.71923
4931431C16Rik,5.56164,5.80594,4.99888,5.19822,4.96948,4.95515
Gm10125,5.63171,5.52162,5.82972,5.77679,5.81869,5.56738
Gm13501,4.96966,4.96766,5.00654,4.95039,4.6689,4.69086
Cib2,8.33391,8.57533,9.51016,9.73105,9.80309,9.99817
Olfr975,5.93501,6.1174,5.3805,5.62505,5.45166,5.31394
Fam83g,5.33145,5.2273,4.83535,4.95761,5.30439,5.27962
Mxra7,8.90404,8.67815,7.49899,7.52628,6.31846,6.44595
Ntng2,7.41241,7.20419,6.5353,6.71985,5.94095,5.88453
Gstp1,10.3591,10.0441,10.1527,10.228,9.44781,9.40251
Uhmk1,9.66933,9.73736,8.95614,8.93848,8.89537,9.07076
Olfr1508,5.00861,4.85312,4.80635,4.68283,4.36535,4.16368
Atp11c,8.16882,8.28257,8.26397,8.06475,7.95555,8.09563
Ufm1,9.89864,9.96966,9.06956,8.82469,8.89748,9.16837
Gm13721,4.77508,4.52345,3.92793,4.26736,3.60145,3.54047
Ddi1,4.96959,5.20909,4.34073,4.56065,4.34917,4.2689
4930579F01Rik,5.29736,5.28275,5.19529,5.13453,4.86447,4.93091
Vmn1r14,4.69254,4.66328,4.16531,4.04677,3.83604,3.8162
Peg12,6.3763,6.34467,5.95479,6.22027,5.47741,5.43326
Gpr19,7.11155,7.0743,6.44333,6.35349,6.00724,5.97923
AC138594.1,4.68215,4.57333,4.20815,4.04001,3.86002,3.91947
Aoc3,8.83447,9.48661,10.6375,10.6147,10.2394,10.3034
Tpcn2,7.55137,7.53829,7.48489,7.38493,6.62812,6.5871
Dppa5b,4.83748,4.47324,4.60322,4.54767,4.20699,4.17851
Gm9246,4.94548,4.90825,4.34527,4.32558,4.26885,4.09788
4921517D21Rik,5.57709,5.66188,4.78703,4.93148,4.57332,4.22541
n-R5s161,4.24147,4.18183,4.37049,4.45402,3.89654,3.84627
Abr,9.82555,9.61302,7.06736,7.13845,5.97257,6.1607
Tle3,9.01315,8.99581,8.57682,8.63393,8.09522,7.9797
Slc5a2,5.87503,5.91919,5.37569,5.4823,5.52654,5.27549
Erich1,8.36449,7.9893,7.37701,7.29585,6.73947,6.87277
Odf3,6.40317,6.41556,5.77159,5.80707,5.6771,5.49966
Gjb4,6.29728,6.11997,5.92689,6.02636,5.93277,5.76493
Olfr401,7.1945,7.26927,6.80229,6.78318,6.66608,6.61098
C1qtnf2,6.79205,6.81228,7.54654,7.61241,5.47698,5.42643
Ccdc108,6.05021,6.14642,5.83482,6.13089,5.70017,5.67412
Bcas3,8.23405,8.01565,7.79558,7.93193,7.42011,7.52566
A730035I17Rik,5.4356,5.44784,5.25148,5.16417,5.0895,5.13167
5930434B04Rik,7.72706,7.49867,7.09242,7.00003,6.49265,6.64285
1700101I19Rik,5.70588,5.71566,5.03535,5.2161,4.60921,4.54215
Pde1b,7.10567,7.16708,6.64483,6.67856,6.51098,6.57168
Fndc5,6.81071,6.62787,7.56492,7.74769,6.5304,6.57014
Usp2,8.42262,8.00583,7.50757,7.60169,7.47015,7.58043
Npat,7.95532,7.95982,7.50287,7.33496,6.68536,6.8657
Smc4,8.06257,8.15943,6.92522,6.82514,6.312,6.61273
Igkv5-48,4.60603,4.86325,4.26247,4.42649,3.92551,3.92526
D630032N06Rik,6.88016,6.86012,5.87956,5.78702,5.53915,5.40393
Prkar2a,8.13569,8.11267,8.10446,7.97143,7.30589,7.54352
Snai3,5.31077,5.38899,5.25084,5.39748,5.13391,5.05054
Tomm34,9.21538,9.2022,8.26827,8.28389,7.66408,7.75962
Olfr592,5.55146,5.72842,5.14009,5.12399,4.82412,4.48918
Mipep,8.28893,8.33199,8.29817,8.22286,8.62511,8.63048
Ubtd2,8.45279,8.28464,8.08737,7.9215,7.16621,7.04682
Ost4,8.79965,8.88272,8.49627,8.50918,7.93263,8.0011
Orc2,8.06724,8.08801,7.70821,7.61659,7.54057,7.55051
SNORA22,11.3205,11.2115,10.9718,10.8927,10.5808,10.7487
Gm6451,7.67535,7.31792,7.22929,7.16541,6.84207,6.97546
Siah1b,5.75522,5.72755,4.60959,4.56851,4.55118,4.40638
Lrrc25,5.41327,5.25572,5.43801,5.17288,4.44878,4.89829
Lpgat1,9.12684,9.23998,8.9413,8.8588,8.768,9.01312
Ggn,6.47576,6.43389,6.01491,6.28437,6.16159,6.05688
Ssxb2,4.89052,4.81071,4.59687,4.3171,4.3444,3.83763
Tnfrsf23,6.00119,5.82198,5.72937,5.8052,5.22386,5.63931
Pik3c2b,7.96047,7.99718,7.84626,7.85313,7.21454,7.11214
2400001E08Rik,8.41084,7.89958,8.10152,8.43024,7.87076,8.19379
F8a,6.24575,6.38691,5.42739,5.56267,5.23285,5.47003
Yy1,9.65059,9.53559,9.06536,8.96947,8.77668,8.77229
Mir34b,5.43898,5.63292,5.16416,5.22518,4.9331,4.6747
Nras,8.67582,8.55007,8.1207,8.04817,7.74953,7.94398
2310007B03Rik,5.86466,5.96484,5.43838,5.58893,5.68182,5.36388
4933440M02Rik,5.08019,5.21543,4.59682,4.71985,4.27468,4.09057
Gm5135,4.92214,4.78591,4.83319,4.73153,4.37824,4.28455
Smpdl3a,9.17175,9.32243,10.3125,10.1452,10.2947,10.3677
Slc38a9,9.2934,9.22643,8.13817,8.04761,7.60315,7.76301
Crygb,5.02106,4.91217,3.95183,3.85303,3.62569,3.57819
Tmem27,4.51833,4.53365,4.03122,4.0049,4.41869,3.62255
Muc15,5.00907,5.1327,4.76943,4.60951,4.20287,3.99988
Atp6v0a1,10.0732,10.1713,9.39231,9.22779,8.60727,8.59757
Olfr710,5.56079,5.76755,5.15712,5.24018,5.20837,4.82049
Sdcbp,11.0045,10.9005,10.2065,10.0381,9.64406,9.81892
Ino80b,7.91016,7.78677,7.3857,7.36109,7.25265,7.02002
Olfr877,5.61083,5.65822,5.34975,5.05782,4.92762,4.39155
Tex19.2,5.58126,5.40352,5.51927,5.39743,4.94994,5.00734
Hs6st2,5.16732,5.1591,4.64904,4.60404,3.81377,3.54097
Olfr576,6.78091,6.73241,5.70084,5.89825,5.41447,5.23543
Emp1,9.18354,9.02529,9.47337,9.13111,8.05264,8.13691
Nmd3,9.33918,9.36997,8.93398,8.72495,8.68316,8.76453
Gm5185,4.87218,4.9801,4.80249,4.87793,4.31387,4.41362
Kcnv2,5.2536,5.30889,5.16426,5.2437,4.80377,4.75942
Naaladl1,4.02653,4.18169,3.97874,4.09526,3.57766,3.49372
Bend7,7.8798,7.68163,6.33994,6.43579,6.4401,6.4908
Sesn3,9.33709,9.24664,7.76008,7.8574,7.3492,7.55134
4921528I07Rik,5.45508,5.44292,5.23666,5.45795,4.98811,4.91238
Cd80,5.56444,5.74556,5.90972,5.82111,4.89065,4.90857
4930486L24Rik,4.80662,4.96346,4.56446,4.45056,4.58177,4.37157
Edc4,8.43832,8.46328,7.85429,7.93218,7.25567,7.28764
Ppp6c,10.0776,10.1425,9.46708,9.25147,9.68335,9.83242
AC160471.1,5.59019,5.55772,5.22434,5.17638,4.86165,4.66117
Kcnf1,5.61495,5.63401,5.0155,5.11867,5.0538,5.14859
1700012P22Rik,4.69252,4.63617,4.47472,4.42817,4.17626,4.10595
Arid1b,9.72719,9.57812,8.96826,8.95875,8.58457,8.58319
Rcsd1,6.36179,6.03739,6.25162,6.27445,5.75563,5.69364
Tyw1,7.71498,7.68011,6.86876,6.98345,6.45036,6.64796
Pabpc2,4.1432,4.24421,4.20238,4.23068,3.65999,3.83521
Grtp1,8.30679,8.17832,7.69751,7.84908,7.61207,7.60398
Olfr199,4.66485,4.91576,4.14047,4.30034,4.0466,3.96389
Pyy,6.76868,6.77417,6.63099,6.60924,5.94365,5.98668
Dpp8,10.31,10.2815,9.75884,9.6196,9.50645,9.6988
Cdhr5,6.47678,6.30798,5.38005,5.26211,4.92725,4.91963
Tnip2,7.35701,7.25014,6.92077,6.99615,5.95198,5.95965
Krtap8-1,6.50839,6.87533,5.52915,5.7919,5.77417,5.44538
Gm13886,5.40623,5.25902,4.95022,4.84478,4.65703,4.72915
Csrnp1,6.36195,6.32158,6.19599,6.19158,5.84358,5.73743
Osgin2,6.80501,6.78245,6.93016,6.837,7.01372,7.37531
Chi3l1,5.53049,5.54057,5.27336,5.47792,4.89585,4.66026
Gm9939,5.30552,5.27373,5.08015,5.08499,4.46066,4.55314
Lrrc8c,9.56838,9.45089,9.30713,9.10376,8.23983,8.30106
B430305J03Rik,5.28777,5.34282,5.03532,5.26859,4.69801,4.61689
Cdc25b,6.30873,6.40364,6.32057,6.50159,5.52671,5.47503
Ssxb3,4.47043,4.42747,3.94225,3.91295,3.5681,3.43766
Hpgd,8.4738,8.78264,7.20695,7.07324,7.41515,7.59104
Pex5,7.90774,7.97331,8.08472,7.89753,7.8298,7.84333
Setd3,9.31553,9.4286,8.85177,8.75892,8.52884,8.42422
Dmrt2,6.71175,6.91342,5.63045,5.72634,7.83038,7.52882
Dhdds,9.02654,9.04489,8.01855,7.96089,7.57086,7.58659
Rab5c,10.1855,10.0877,9.7386,9.74924,9.37734,9.48323
Olfr122,4.82831,4.85402,4.28702,4.5351,4.69674,4.20699
Gpc3,10.3303,10.2846,9.59487,9.22816,6.84253,6.58354
Kit,5.94188,6.18803,7.35301,7.52227,7.00626,7.75745
Zfp706,10.2448,10.166,9.16241,9.30146,8.80726,8.943
Senp2,8.12031,8.14835,7.48139,7.39368,7.36721,7.43187
Col6a2,7.5895,7.61826,8.49476,8.57023,7.18456,7.3711
Acvr1b,7.05136,7.13419,7.16063,7.18341,6.09091,6.40264
Ipmk,7.58651,7.53953,7.25795,7.31387,6.99118,6.97228
Slc25a17,9.64617,9.70871,9.67892,9.81236,9.5308,9.98152
Fntb,6.8041,6.7162,6.67317,6.73901,6.66086,6.60344
Taf1c,7.28853,7.3154,6.75117,6.81488,6.57989,6.22932
Eef2k,7.70968,7.47352,7.29531,7.59825,6.01846,6.25418
Mmp1b,4.35204,4.37782,3.84231,3.93348,3.62995,3.43913
Ccdc70,4.33206,4.35698,4.0154,4.05791,3.61148,3.7153
Shisa6,4.23106,4.28214,4.1374,4.0997,3.78227,3.71745
Gsg2,4.66135,4.79791,4.25467,4.27269,4.05748,3.90633
Serpina1f,4.77513,4.78111,4.39047,4.44001,4.52773,4.19118
Olfr1342,5.28388,5.44223,4.97463,4.97728,4.89443,4.34327
Aprt,8.12217,8.11187,7.1089,7.18924,6.85591,6.74024
Olfr1346,5.38766,5.49688,5.45092,5.47693,5.19295,4.50385
Olfr335-ps,5.3429,5.4804,5.09191,5.05593,4.5572,4.4889
Slit1,8.75593,8.76797,5.23547,5.26676,5.19175,5.07659
Mbp,7.33826,7.17181,7.57464,7.37172,6.98546,7.10958
AC127324.2,4.91061,4.72189,4.33457,4.35855,4.13579,4.21534
Aldh5a1,7.1329,7.23793,7.195,7.23051,7.30719,7.42592
Phf14,8.00266,8.1416,7.19123,7.06736,7.06567,7.03994
Sparcl1,10.1674,10.2288,11.1944,11.0602,10.9705,10.7752
Slc6a9,8.85803,8.83947,8.80837,8.75554,6.61127,6.65638
Tpk1,7.37942,7.34194,6.28266,6.1649,5.55948,5.69014
Trpd52l3,5.71881,5.62887,5.53997,5.5482,5.22911,5.16353
Spink11,4.97259,4.86246,4.52964,4.51547,3.71154,3.69136
Cnpy2,8.54423,8.52676,8.17887,8.20806,7.59293,7.8477
Ddrgk1,8.58872,8.42521,7.84162,8.03345,7.40574,7.50781
AC157588.1,3.79513,3.77559,3.41593,3.35139,2.93111,2.95714
Klhl6,7.20991,7.18725,6.12118,6.26355,5.64442,5.59483
Col14a1,7.89362,8.08941,9.35718,9.22742,6.50513,6.53294
Tmem71,7.82828,7.56212,5.8496,5.64919,5.73918,5.51545
2010204K13Rik,8.99627,8.9523,5.34216,5.38849,4.77407,4.71191
Gdpd3,5.25359,5.19573,4.89985,4.92378,4.89923,4.86253
Gm11810,6.37384,6.19324,5.96989,5.68751,5.6591,5.92565
Olfr912,4.39301,4.43223,4.16506,3.96984,3.64987,3.65307
Tbck,9.26713,9.29829,8.69144,8.57515,8.56149,8.75311
Stmn3,9.36432,8.87031,7.67842,6.44207,6.24897,5.81582
Med16,8.0235,7.94388,7.16226,7.32745,7.05216,7.08451
Dsg1c,4.9089,4.86332,4.42831,4.58947,4.03918,4.08716
Krtdap,4.38892,4.34399,4.18153,4.32654,4.03968,4.02459
Gm11271,5.42317,4.99204,4.48962,4.14092,3.77472,3.77921
Olfr1144-ps1,4.22038,4.14744,3.8236,3.83601,3.53445,3.43262
Klk1b1,3.90434,3.94685,3.75199,4.00939,3.27235,3.35132
D630045J12Rik,7.43879,7.20381,6.4727,6.47354,6.1213,6.20833
Shcbp1,4.97786,5.1184,4.6942,4.89596,4.29689,4.33147
Olfr90,5.1027,5.26095,4.94334,4.90331,4.52534,4.51906
SNORD25,3.82917,3.72559,3.32731,3.42206,2.84302,3.00521
Nfkbil1,7.3101,7.45056,6.63121,6.68485,6.66645,6.39503
Gm5447,5.76717,5.86432,5.43288,5.12281,4.86908,4.42509
Pmaip1,5.26353,5.28907,5.18518,5.32058,5.2005,4.9082
Rab35,8.99724,9.04098,8.67496,8.60274,8.21472,8.20977
Tjp3,6.24536,6.11508,6.11645,6.11094,5.73298,5.68543
Olfr1505,4.59192,4.56244,4.40916,4.52674,3.81717,3.77832
Rhoj,9.16199,9.00679,10.4024,10.1984,9.07687,8.93602
Dopey2,7.67463,7.6835,7.83964,7.74139,7.25654,7.28591
2810417H13Rik,5.63378,5.7119,5.65385,5.25477,5.00486,4.87399
Gm15697,4.0615,4.0209,3.68119,3.65434,3.38581,3.41459
Sipa1,9.38348,9.25691,8.25076,8.29607,8.09333,8.12873
Gna15,5.6252,5.66981,5.22336,5.23597,4.74809,4.72921
Hrasls,5.49341,5.42646,5.29125,5.19406,5.08113,5.08277
Fam107a,7.29505,7.1535,6.41005,6.70362,5.26791,5.2683
Mettl7a1,9.41451,9.71146,10.2808,10.3828,10.461,10.5751
Ift46,9.08005,8.84348,8.60415,8.57639,7.77991,7.92753
Gpr87,4.6437,4.61079,4.23753,4.20823,4.02884,3.99122
Ablim3,5.92491,6.21876,8.16299,7.98535,8.12461,8.22069
Slc2a5,5.57319,5.91072,5.18811,5.32098,6.0319,6.35867
Mir681,5.60035,5.66856,5.18503,5.33018,5.04397,4.7642
Fam173b,7.25632,7.36925,6.30015,6.34388,6.12333,6.6432
BC067068,6.65144,6.78163,6.07894,6.11135,5.9975,5.80518
Cd24a,9.49538,8.96434,9.02092,8.27995,8.05056,8.07036
Ccdc149,6.93017,6.71941,6.4407,6.4446,5.44396,5.39839
Rere,9.67614,9.56773,8.92395,8.95218,8.54416,8.71112
n-R5s36,5.48482,5.37166,5.2635,5.33355,5.13748,5.07004
Ap1g2,7.08665,6.95889,6.99258,7.11067,6.93881,7.08257
Khdc1a,4.32629,4.49948,3.78028,3.85193,3.33838,3.57766
Galns,7.03932,6.71532,6.29317,6.02408,5.4043,5.53708
Acadl,9.97507,10.3667,11.6505,11.738,11.9019,11.9186
Art1,5.94456,6.0053,6.26421,6.35568,6.45154,6.28496
Exosc9,8.25479,8.37549,7.28846,7.24327,7.01454,7.11809
Rab7l1,7.98334,7.84545,7.35747,7.31976,6.64679,6.86341
Aagab,7.5584,7.53139,6.84453,6.75335,6.52808,6.80859
Mc1r,6.3911,6.34856,5.70264,5.83711,5.48645,5.47919
Tlk2,7.81607,7.72258,7.58464,7.2913,7.08202,7.26407
Tm4sf1,9.60651,9.71631,10.7428,10.6189,9.23382,8.98283
Rccd1,7.11599,7.1836,7.08147,7.06108,6.39821,6.43778
Pdgfa,9.12202,9.05991,9.00064,8.88223,7.82934,7.73051
Pcm1,9.64183,9.64439,9.27214,9.05978,8.55754,8.6579
Usp24,9.09412,9.08042,8.79512,8.7128,8.49149,8.48744
4930438A08Rik,5.49967,5.35558,5.14207,5.06844,5.06404,4.94024
Olfr788,5.46018,5.65974,5.09925,5.05663,4.83016,4.43529
Gm10497,5.45631,5.5245,4.65876,4.64706,4.65659,4.74496
Plin3,8.94798,8.70935,8.8735,9.13626,8.65335,8.78781
Ndufv3,9.02085,9.02673,9.75208,9.76574,9.88674,10.0072
Gzmf,4.68679,4.71701,4.41345,4.32441,4.00826,3.93232
Gpn2,7.7004,7.66709,6.74808,6.90147,6.67491,6.74945
B3galt1,5.97224,5.98913,7.28445,7.22687,4.86159,4.65081
Asnsd1,9.4873,9.64877,9.41789,9.22518,9.3815,9.34293
Serpine3,6.15143,6.09082,5.68335,5.69356,5.23253,5.23056
Dusp21,4.45217,4.45266,4.07595,3.964,4.02419,4.10015
B9d1,7.58912,7.52748,5.99389,6.03262,5.39631,5.21405
Mettl4,8.44892,8.47705,8.26289,8.00422,7.71793,7.98537
9130404H23Rik,4.87181,4.85472,4.40009,4.51584,4.12376,4.11257
Adamts5,8.3054,8.4871,8.43513,8.32835,7.82905,8.03058
Trim69,4.67429,4.72724,4.17153,4.39254,4.01518,4.03974
Nudt7,8.39574,8.79832,9.26841,9.38179,9.26912,9.51679
Mir695,5.4374,5.58779,5.11673,5.29718,4.77905,4.81141
Gm14585,5.09598,5.08284,4.8743,5.26094,5.17263,5.06771
A430084P05Rik,6.743,6.75033,5.317,5.34638,4.53492,4.60654
Hist2h3c2,5.10583,5.07916,4.15691,4.08301,3.98071,3.9846
Nlrp1c,6.11971,6.20043,5.86587,5.73266,5.32215,5.39356
Cyyr1,9.16946,9.11694,8.71216,8.60738,9.33701,9.3343
Vmn1r35,4.00095,4.02568,3.37167,3.40768,3.15006,3.37802
Wipf2,7.52876,7.49905,7.23972,7.21357,7.02803,6.91926
Chadl,6.15979,6.09616,5.72181,5.77315,5.1757,4.84206
4930596D02Rik,5.27122,5.21721,4.74397,4.78372,5.06192,4.63316
Mtor,8.91977,8.86116,8.94202,9.04184,8.81111,8.97959
Srpk1,9.38636,9.42732,8.56797,8.51399,8.28277,8.31306
Tmem139,4.86512,5.03803,4.76186,4.78986,4.69677,4.61919
2010305A19Rik,7.62561,7.68957,7.47904,7.47432,7.37624,7.27368
Bri3bp,8.2731,8.3073,8.09813,8.13177,7.591,7.67893
Sprr2k,5.28388,5.4783,4.95594,4.97577,4.59652,4.62656
Tmem201,7.88059,7.85343,7.79433,7.75616,7.42354,7.53966
Taf7l,4.81814,4.79569,4.53173,4.45015,3.89059,3.8115
Sfrp2,5.5798,5.58203,10.5144,10.4101,6.74845,6.94591
Zfp692,8.41517,8.37693,7.58444,7.6389,7.46605,7.37543
Mrgpra4,4.68478,4.83148,5.12035,5.07476,3.96842,3.91747
Zfp668,6.65812,6.62041,5.99867,6.01445,5.81601,5.75676
Gm7224,5.16354,5.20583,4.69089,4.62076,4.75889,4.72825
Slc25a1,10.8047,11.3117,10.9901,11.2517,10.7877,11.3539
S1pr4,6.87399,6.71939,6.30526,6.27833,6.30721,5.86581
Olfr916,5.16212,5.15875,5.02277,5.07932,4.38511,4.36659
Serpina1c,5.25541,6.08497,7.52423,5.75491,3.50672,4.06837
Olfr738,5.29941,5.47037,4.70865,4.63819,4.91184,4.50385
Rnf212,4.67447,4.62209,4.3021,4.20636,4.09791,3.94286
Ccdc121,6.17751,6.25865,5.86601,5.94842,5.81519,5.8421
Slc38a2,11.0817,11.0887,10.4645,10.5079,9.53188,9.56803
Tbl1x,10.2532,10.2755,9.69163,9.73038,9.06066,9.28918
Olfr1340,5.09895,5.19037,4.83024,4.83988,4.41263,4.13604
D19Bwg1357e,8.70538,8.52222,7.58939,7.53082,6.8363,6.79733
Taf4a,8.55089,8.35244,7.97849,8.17866,7.56756,7.55068
Arfgap3,8.50105,8.46248,7.76692,7.73044,6.69307,6.76619
Amdhd2,7.76452,7.66811,7.18551,7.531,6.96662,6.95071
Arrdc3,10.1649,10.0933,8.73577,8.38801,8.10086,7.81073
Flot1,8.32472,8.14594,8.14533,7.96995,7.3461,7.45613
Rnf111,8.79988,8.80534,8.40593,8.24008,7.75442,7.9152
Ptx3,4.80451,4.86237,4.65866,4.62925,4.43878,4.37993
Ccdc112,7.06783,6.97094,6.54379,6.52126,5.61709,5.63849
F9,4.10041,4.48099,3.96589,4.01776,3.42493,3.52008
Trim8,8.5525,8.3869,7.53846,7.68017,6.83957,7.00181
Mos,4.61356,4.712,4.32886,4.45746,4.3301,4.2972
Zfand6,8.91295,8.89643,8.89856,8.87255,8.83776,9.06435
5730460C07Rik,4.95822,5.06924,4.47299,4.52616,4.33135,3.97814
Tpd52l2,8.75323,8.76998,8.30567,8.39106,7.91569,7.98591
1700007K09Rik,4.68073,4.85949,4.23579,4.46242,4.72869,4.4068
Fam108c,8.63149,8.51696,8.54832,8.65307,8.44354,8.61648
Vmn1r40,5.01875,5.22979,4.96141,4.96656,4.66221,4.59577
Nt5c3,7.2248,7.26756,6.42569,6.36292,6.00061,6.18968
Opalin,4.32403,4.31461,3.93192,4.011,3.6693,3.71709
Mapre2,9.94891,9.66648,8.46333,8.28425,7.28595,7.61668
Ssh1,8.20763,8.08638,8.47174,8.51607,7.90812,7.84065
Wbp4,7.91395,7.65451,7.38817,7.20665,6.35778,6.64217
Aplf,5.94528,5.76127,5.3153,5.42336,4.78726,4.75673
Mib2,7.33236,7.2751,7.02055,7.25776,6.55754,6.48465
Wnt11,5.96907,6.10202,6.30922,6.19616,5.91587,5.92772
Rgs5,7.79118,7.98161,10.47,10.2146,10.0764,10.0587
Spcs2,10.9149,10.8421,8.74788,8.6057,8.47149,8.5364
AL663045.1,4.06233,4.08787,3.92472,3.76831,3.3277,3.11471
Pank3,8.81087,9.1312,8.61492,8.54172,8.29914,8.85146
Gar1,8.19407,8.31087,7.2067,7.18643,7.37113,7.18022
Osbpl6,8.48669,8.58087,6.96991,6.99378,6.77086,6.93902
Acpt,6.34174,6.30813,5.75918,5.94213,5.83231,5.54751
Gm5893,5.36061,5.22683,4.9582,5.06284,4.81959,4.92002
Gm6792,5.55798,5.78766,6.12316,6.06747,5.91938,5.79917
Arhgef1,7.98167,7.79943,7.76078,7.85423,7.1258,7.02687
Chml,7.2201,7.13898,6.13579,5.99969,6.35826,6.26086
Atg2a,8.03846,7.8929,7.30226,7.57187,6.85939,7.14011
Arpm1,6.40849,6.21517,6.18638,6.34501,5.87081,5.59457
Gm505,7.29949,7.19549,7.02934,6.98641,6.66876,6.78653
Olfr553,5.27659,5.48296,5.21195,5.35935,4.82052,4.40385
Rnf141,9.17997,9.17426,8.74075,8.58391,8.23196,8.39643
1700023E05Rik,5.15304,5.09451,4.40233,4.54845,4.14117,4.06546
Hdgf,9.4218,9.1923,9.05225,9.04391,9.09414,9.13989
Gpr84,5.5918,5.51695,5.44197,5.58156,5.00702,5.05606
F12,6.16248,6.06603,5.64588,5.73376,5.3221,5.01622
Gm15195,4.45748,4.154,3.91499,3.94899,3.79331,3.70424
Wdr81,7.69735,7.7562,6.98683,7.08375,6.54275,6.64684
Wap,6.18467,6.16671,5.83815,5.88372,5.73833,5.56585
Optc,6.20098,6.22269,6.56931,6.65472,4.67797,4.52576
Olfr1305,6.48717,6.68312,5.58463,5.84595,5.81349,5.41197
Olfr573-ps1,5.37513,5.72529,4.9822,4.92639,5.15124,4.73382
Lrrc24,7.08202,7.24094,6.8143,7.14827,6.30613,6.25388
AC124409.1,5.23197,5.27616,5.10268,5.00831,4.71849,4.75916
Pla2g4c,4.91962,4.86931,4.62752,4.72625,4.63783,4.19363
Psmd3,8.54511,8.60472,8.13571,8.16457,7.91298,7.95459
Ypel2,8.12723,8.1487,7.96579,8.22705,7.30851,7.67959
Sv2b,5.02835,4.98616,4.67898,4.55584,4.367,4.53983
Slc6a6,10.8585,10.86,8.97822,9.03132,8.73177,8.86188
4930430A15Rik,4.55335,4.56919,4.33895,4.07056,3.65997,3.54792
A130006I12Rik,5.97504,5.84739,5.84582,5.91448,5.77999,5.74955
Ganab,10.0248,10.0208,9.33521,9.38066,8.8963,9.08099
Sfswap,8.45004,8.4625,7.89987,8.06784,7.28122,7.21141
Ugdh,9.53306,9.60815,9.05867,8.96258,8.28347,8.55546
Manba,7.57292,7.72059,7.47113,7.49696,6.87809,6.89311
Vnn1,7.78563,7.73808,7.26588,7.26917,6.35791,6.62265
Pold2,8.78557,8.74677,8.4901,8.47795,8.16762,8.10963
Zp3r,4.46761,4.5003,4.33495,4.06837,3.94861,3.92047
Kpnb1,8.92297,8.85985,8.47624,8.40646,8.27534,8.37906
Gm14005,7.43694,7.40497,7.64288,7.82199,7.28346,7.02224
Myh9,9.91048,9.69116,9.22564,9.33462,8.56679,8.56343
Olfr1049,4.04857,4.00128,3.41084,3.4247,3.22947,3.08971
