gene,STOMACH1,STOMACH2,STOMACH3,SALIVARY_GLAND1,SALIVARY_GLAND2,SALIVARY_GLAND3
LOC101928443,0,0,0,0,0,0
LOC100996455,25,8,40,51,18,68
LOC105369443,0,0,0,0,0,0
LOC101929227,0,0,0,0,0,2
MS4A18,0,0,0,0,0,0
LOC104968399,112,13,4,8,9,12
LOC100505570,0,0,0,0,0,0
LOC171391,152,92,264,334,307,165
AP1AR,875,937,1149,1397,1301,971
AP1B1,4375,5293,6327,5492,5888,6027
AP1B1P1,0,0,0,0,0,0
AP1G1,4124,3067,4078,4693,6158,4965
AP1G2,758,365,538,671,1014,1394
AP1M1,2775,4386,6158,4455,4066,3214
AP1M2,12,0,0,0,10,20
AP1S1,694,741,955,772,843,810
AP1S2,4394,1326,1600,2138,2379,2844
AP1S3,24,51,31,28,15,50
AP2A1,5606,8370,7744,9988,8496,5748
AP2A2,6818,5262,6579,6795,6833,6180
AP2B1,9573,10375,12201,10004,12829,8201
AP2M1,15434,19055,23998,17334,17020,12807
AP2S1,2255,3916,4347,2848,2791,2875
AP3B1,2170,3287,3321,2972,2930,1846
AP3B2,76,148,47,33,92,153
AP3D1,7228,8308,10001,9901,8680,6561
AP3M1,2221,2907,3234,3304,2856,2344
AP3M2,1169,1572,1230,1448,1441,1507
AP3S1,2428,2959,4890,5592,4553,2626
AP3S2,2965,3768,2989,2695,2929,2608
AP4B1,1125,781,769,1133,1229,1436
AP4B1-AS1,61,34,22,55,59,99
AP4E1,817,1076,1322,1282,1398,868
AP4M1,634,915,1130,957,910,1055
AP4S1,256,297,240,445,249,185
AP5B1,289,412,449,379,584,400
AP5M1,1201,881,1137,1195,1400,834
AP5S1,538,314,311,358,519,481
AP5Z1,1514,2415,2141,2911,2623,3103
APAF1,889,458,702,890,1663,1243
APBA1,473,375,593,592,1417,572
APBA2,78,93,144,125,140,147
APBA3,581,776,907,937,823,811
APBB1,3298,3593,7104,5283,4562,2624
APBB1IP,1067,580,1102,1031,1463,2382
APBB2,5460,4068,8418,7413,8441,5236
APBB3,2109,1520,1597,2459,3370,3377
APC,2120,1451,2342,2614,3220,1448
APC2,94,32,52,64,218,86
APCDD1,3322,2970,4875,2468,10875,894
APCDD1L,8,27,52,215,12,129
APCDD1L-AS1,1,8,3,5,4,16
APCS,2,3,0,2,0,0
APEH,2851,3236,4266,4135,2995,2544
APELA,0,0,0,0,2,2
APEX1,3740,5485,4199,4185,5503,4100
APEX2,872,1102,1326,1155,1072,1368
APH1A,4808,3273,3869,4238,7462,5736
APH1B,1164,647,908,1672,2612,1544
API5,3112,4174,4646,5432,4837,3117
APIP,851,650,882,874,1037,834
APLF,162,117,195,325,263,245
APLN,275,248,100,297,255,134
APLNR,1056,755,382,643,2071,6052
APLP1,717,226,694,822,401,160
APLP2,27872,31021,46658,38279,43128,18667
APMAP,4237,5396,4804,3432,6455,4453
APOA1,6126,25,27,11,65,37
APOA1-AS,9,2,8,5,4,10
APOA2,2,4,8,1,8,4
APOA4,4,0,0,0,0,2
APOA5,0,2,4,2,0,2
APOB,355,359,282,1640,400,154
APOBEC1,0,0,0,0,0,0
APOBEC2,4158,22,43,15,73,22
APOBEC3A_B,196,10,8,12,108,86
APOBEC3B,35,5,2,26,15,25
APOBEC3B-AS1,0,0,0,0,0,0
APOBEC3C,1577,851,934,2273,2161,1429
APOBEC3D,161,97,100,266,137,307
APOBEC3F,152,76,93,256,188,215
APOBEC3G,323,176,163,725,444,788
APOBEC3H,13,10,24,20,13,60
APOBEC4,0,0,0,0,0,4
APOBR,457,96,90,396,291,624
APOC1,817,163,146,1432,328,201
APOC1P1,7,2,0,11,4,7
APOC2,23,3,4,74,11,8
APOC3,0,20,4,4,2,14
APOC4,0,0,2,2,2,0
APOD,34141,58301,49483,39226,24428,42109
APOE,11099,4083,5001,9581,17956,10803
APOF,0,0,2,0,0,4
APOH,14,12,13,2,2,18
APOL1,2546,4785,2397,3007,4299,3799
APOL2,2619,2473,1818,1816,3856,3170
APOL3,5003,2166,2137,2177,8141,5310
APOL4,1891,535,190,6,2130,456
APOL5,18,0,0,3,12,7
APOL6,2087,1505,984,2800,4113,3082
APOLD1,11365,5092,3922,3003,31754,1427
APOM,76,46,52,79,135,79
APOO,834,333,247,195,221,158
APOOL,147,192,255,198,229,64
APOPT1,1259,852,1322,1734,1065,843
APP,34442,38697,32262,33328,66589,18307
APPBP2,2083,1427,2077,2906,3625,2395
APPL1,2607,2818,2874,3593,4590,2548
APPL2,1748,1401,2364,3108,3673,2211
APRT,2240,3968,3768,2150,3202,2630
APTR,249,218,271,331,298,277
APTX,957,1083,1038,997,1100,1065
AQP1,41797,45983,52208,78169,67424,68503
AQP10,4,2,2,2,10,4
AQP11,79,60,56,61,91,80
AQP12A,0,0,0,0,0,2
AQP12B,0,0,0,1,0,4
AQP2,13,272,345,33,4,8
AQP3,294,1127,316,426,666,902
AQP4,79,10,11,18,72,10
AQP5,13,41,30,19,87,29
AQP6,3,0,2,0,14,7
AQP7,5326,778,1206,285,3310,2460
AQP8,6,2,8,4,3,11
AQP9,636,86,18,137,353,98
AQR,1671,2033,2052,2178,2693,1859
AR,2126,1445,2610,2557,3242,1178
ARAF,4084,4583,5539,5327,4602,3855
ARAP1,4512,3403,4111,6914,6725,6300
ARAP2,456,184,204,447,614,824
ARAP3,4961,2551,2548,3190,5434,3381
ARC,60,32,62,54,379,42
ARCN1,6551,12413,13082,10374,11076,5854
AREG,72,34,57,16,331,6
AREL1,1721,1786,2121,1902,2276,2062
ARF1,17613,26204,33341,24216,25289,14001
ARF3,4277,11338,13088,10480,10214,6840
ARF4,5348,10190,12149,8417,11027,5778
ARF4-AS1,0,5,3,2,4,0
ARF5,3415,2920,3806,4279,3563,3403
ARF6,1814,1865,2639,2377,3076,1966
ARFGAP1,3699,5577,5096,5218,5490,8106
ARFGAP2,4233,3610,4770,5919,5046,4205
ARFGAP3,2512,4370,5031,4343,3924,2495
ARFGEF1,2400,2624,2944,3722,3515,2697
ARFGEF2,4437,3366,4678,6041,5149,2719
ARFGEF3,506,139,77,127,577,154
ARFIP1,1503,1628,1959,2509,2359,1726
ARFIP2,1396,1885,1998,1738,2506,2398
ARFRP1,1718,2608,2868,2692,2274,2600
ARG1,57,14,20,15,91,14
ARG2,67,61,144,78,78,38
ARGFX,0,0,0,2,0,0
ARGLU1,11403,5620,9226,13522,16764,21788
ARHGAP1,8342,11271,17512,16666,21964,11256
ARHGAP10,4107,4974,14019,10546,9743,2271
ARHGAP11A,172,114,117,230,257,223
LOC100288637,121,42,34,61,153,110
ARHGAP12,1546,811,1430,2530,2964,2520
ARHGAP15,885,262,165,564,1238,913
ARHGAP17,3515,2194,3339,3372,3825,2820
ARHGAP18,1511,964,926,1466,1181,1690
ARHGAP19,819,481,461,681,1481,1157
ARHGAP20,274,110,310,277,464,730
ARHGAP21,6348,6219,9453,8983,13666,7702
ARHGAP22,422,866,778,1239,896,1094
ARHGAP24,1014,575,1143,1896,1782,700
ARHGAP25,995,399,497,999,1430,1484
ARHGAP26,3370,1893,2322,2680,3003,2016
ARHGAP26-AS1,0,0,0,0,0,0
ARHGAP26-IT1,0,0,0,1,0,0
ARHGAP27,3319,734,1044,1638,2321,3702
ARHGAP27P1-BPTFP1-KPNA2P3,375,135,219,265,452,644
ARHGAP28,278,69,83,114,1539,435
ARHGAP29,7328,3125,4162,5510,8306,6166
ARHGAP30,1261,447,538,1650,1504,3430
ARHGAP31,5716,1556,1708,2989,5350,3112
ARHGAP31-AS1,30,11,12,9,19,13
ARHGAP32,1074,857,821,1116,2755,1555
ARHGAP33,978,1002,1800,2131,1634,2390
ARHGAP35,4211,5238,8202,6448,7893,3164
ARHGAP36,2,2,4,4,2,2
ARHGAP39,386,542,341,249,303,457
ARHGAP4,2722,1565,1505,2646,3602,8083
ARHGAP40,0,1,2,4,0,2
ARHGAP42,820,456,475,658,902,325
ARHGAP44,601,698,647,1081,1068,515
ARHGAP45,1630,986,972,2398,2035,4383
ARHGAP5,4379,3561,4631,6179,6227,2451
ARHGAP6,1817,1899,2099,2186,2171,1271
ARHGAP8,14,10,12,28,199,113
ARHGAP9,817,394,518,682,749,2359
ARHGDIA,11636,24996,26743,15046,18448,15346
ARHGDIB,8506,4651,6137,9424,9455,9440
ARHGDIG,210,45,67,119,142,94
LOC100505585,6504,5215,5102,7212,8948,11168
ARHGEF10,3884,5136,6665,4519,5943,4603
ARHGEF10L,4661,7644,15428,12826,7286,11176
ARHGEF11,3435,3687,4623,5066,5396,4756
ARHGEF12,9941,9089,11423,9670,13937,6074
ARHGEF15,6814,2118,1313,2000,5241,5838
ARHGEF16,182,71,120,56,151,46
ARHGEF17,11818,21722,29557,31841,18744,16358
ARHGEF18,1197,2174,2704,2871,2150,2184
ARHGEF19,347,791,784,557,895,532
ARHGEF2,5404,5820,8598,10449,6525,7448
ARHGEF25,2401,3473,7681,6707,4454,4681
ARHGEF26,1192,4255,3893,2065,2208,835
ARHGEF26-AS1,66,53,49,58,65,50
ARHGEF28,496,705,1362,2869,1059,1364
ARHGEF3,1879,991,773,1192,2268,2253
ARHGEF33,36,49,64,99,112,85
ARHGEF35,60,34,25,1,57,94
ARHGEF37,1582,752,1813,3998,3641,1275
ARHGEF38,3,3,0,4,3,3
ARHGEF38-IT1,0,0,0,0,0,0
ARHGEF39,242,676,1004,431,512,600
ARHGEF3-AS1,0,0,0,0,0,1
ARHGEF4,245,381,477,350,919,873
ARHGEF40,4578,3714,6028,4957,6567,5721
LOC102725117,128,95,98,68,322,206
ARHGEF6,4854,2069,3599,5811,4224,3913
ARHGEF7,7788,6563,10288,10075,7977,6463
ARHGEF7-AS2,26,17,11,35,36,20
ARHGEF9,2001,3848,8771,5203,7775,2443
ARHGEF9-IT1,3,3,5,0,0,0
ARID1A,5432,6670,7339,6572,7807,6172
ARID1B,3510,4246,5672,5733,5454,3307
ARID2,1271,1325,1740,2018,2018,1608
ARID3A,423,291,231,316,611,688
ARID3B,285,285,593,527,682,554
ARID3C,3,5,0,6,10,3
ARID4A,1842,1055,1779,2780,2972,2058
ARID4B,2530,1981,2728,4089,3978,2693
ARID5A,4625,5749,5447,6190,7496,5465
ARID5B,5076,5892,9156,9730,11521,4241
ARIH1,3546,4033,5039,5349,4445,3125
ARIH2,5396,3266,3722,3601,5767,3795
ARIH2OS,65,66,56,134,140,97
ARL1,3582,4689,6301,4797,4957,2854
ARL10,1268,1037,1459,1652,1664,1978
ARL11,144,26,27,109,118,156
ARL13A,3,2,9,6,5,7
ARL13B,518,650,682,797,924,503
ARL14,0,0,2,0,0,0
ARL14EP,1258,805,927,1510,1515,1218
ARL14EPL,0,0,0,0,2,0
ARL15,1527,510,499,935,2403,1000
ARL16,1001,1209,1338,1530,1251,1539
ARL17A,62,176,86,106,140,147
LOC100996709,145,300,220,170,193,152
ARL2,3978,4154,6286,5422,6081,3589
ARL2BP,2470,1980,3001,2959,3696,2059
ARL3,1700,1714,2107,2332,1949,979
ARL4A,1379,1012,470,883,1339,714
ARL4C,370,787,581,2098,1298,1544
ARL4D,218,809,955,849,1011,622
ARL5A,2348,2647,2827,2611,3045,1297
ARL5B,1325,886,812,1128,2587,1118
ARL5C,2,2,3,1,0,13
ARL6,140,215,225,207,300,122
ARL6IP1,5689,3501,4744,6649,7268,3005
ARL6IP4,3784,4849,7694,8765,6080,4613
ARL6IP5,9348,7071,11906,16471,11548,6422
ARL6IP6,700,459,712,849,941,653
ARL8A,1795,2368,3395,3108,2763,1673
ARL8B,3821,4361,5885,5968,5975,3204
ARL9,9,7,4,17,18,13
ARMC1,1699,1440,1840,2094,2169,1118
ARMC10,1491,2244,2278,3204,2556,1650
ARMC12,106,40,59,144,100,76
ARMC2,307,307,454,470,440,438
ARMC3,2,4,2,14,12,0
ARMC4,10,27,39,156,103,29
ARMC5,845,820,1080,1206,1540,1146
ARMC6,912,1217,1440,1108,1085,910
ARMC7,483,535,747,876,687,558
ARMC8,2386,3863,4098,3169,3821,2341
ARMC9,251,1501,912,1273,538,378
ARMCX1,2309,1361,2586,3659,3458,1873
ARMCX2,2047,2570,3347,5117,3059,3102
ARMCX3,4794,3805,4471,4875,5780,3456
ARMCX4,1204,849,1690,1639,3580,3127
ARMCX5,472,339,372,633,671,648
ARMCX6,1326,1064,1453,1883,1427,1529
ARMS2,0,2,8,7,0,4
ARMT1,1213,787,1235,1642,1167,931
ARNT,3877,4530,4648,5229,6436,4048
ARNT2,298,891,947,1069,633,470
ARNTL,982,492,933,1997,2227,1116
ARNTL2,108,376,259,262,130,324
ARNTL2-AS1,1,3,0,1,0,0
ARPC1A,6100,4027,7037,6128,6802,3513
ARPC1B,4902,4639,5307,4849,5146,7907
ARPC2,10273,13682,17946,14435,15422,12934
ARPC3,5776,6369,7437,9075,7122,6412
ARPC4,4777,7177,8547,7993,6671,6198
ARPC5,5887,5061,9153,9081,6970,7074
ARPC5L,2134,2180,2055,1510,1932,1936
ARPIN,933,1210,1498,1343,1937,1052
ARPP19,7150,7416,9974,9285,10009,4701
ARPP21,2,2,27,104,29,20
ARR3,8,3,5,6,7,17
ARRB1,1810,798,991,1078,3577,1937
ARRB2,2535,1294,1551,2005,3735,4791
ARRDC1,2406,1130,1587,1662,2577,3798
ARRDC1-AS1,637,735,978,887,568,1029
ARRDC2,3795,4029,6633,4796,6944,4447
ARRDC3,2531,7589,5004,2635,5481,2237
ARRDC4,1629,983,776,1611,2581,2159
ARRDC5,12,3,2,21,8,28
ARSA,2289,2032,2652,3872,3833,2724
ARSB,746,1569,1642,1772,1631,795
ARSD,1078,731,1027,967,1981,1672
ARSE,49,28,27,34,82,33
ARSF,0,0,0,0,4,0
ARSG,478,423,280,434,645,339
ARSH,2,0,0,0,0,0
ARSI,40,123,136,140,83,184
ARSJ,163,812,1159,875,595,352
ARSK,365,570,638,627,714,206
ART1,12,0,0,9,27,0
ART3,1141,29,101,145,72,28
ART4,681,347,840,2277,2812,710
ART5,26,6,8,14,50,15
ARTN,76,524,64,53,22,66
ARV1,819,438,646,906,753,603
ARVCF,2013,2439,4437,5241,2672,2635
ARX,0,0,4,6,6,0
AS3MT,832,218,256,640,735,494
ASAH1,21057,5055,10709,15243,15048,4918
ASAH2,7,17,22,0,18,10
ASAH2B,134,114,136,154,159,72
ASAP1,6240,3018,3434,5946,8322,4548
ASAP2,959,1214,1874,1774,2226,972
ASAP3,2770,1903,2384,1964,4649,5611
ASB1,1927,2633,3552,3262,3533,2423
ASB10,723,12,105,33,6,2
ASB11,1333,9,7,7,35,8
ASB12,0,0,0,1,1,0
ASB13,1165,1060,1525,2035,2226,1417
ASB14,196,54,38,59,79,138
ASB15,836,6,2,0,5,0
ASB16,159,40,102,186,103,132
ASB16-AS1,308,353,468,422,413,514
ASB17,0,0,0,0,0,0
ASB18,53,4,0,8,5,2
ASB2,6686,1620,3377,2748,2071,1799
ASB3,616,521,573,738,941,634
ASB4,198,6,4,0,20,7
ASB5,194,6,22,15,5,4
ASB6,848,1233,1289,1133,1230,1105
ASB7,635,547,745,872,978,600
ASB8,2643,901,1621,2143,1975,1456
ASB9,234,63,63,47,151,118
ASCC1,1563,1351,1339,1639,1707,715
ASCC2,2664,3107,2854,2642,2998,2594
ASCC3,1320,2628,2920,3252,2026,1365
ASCL1,0,2,2,6,6,7
ASCL2,30,10,16,18,24,63
ASCL3,0,2,2,0,0,0
ASCL4,2,0,0,2,2,26
ASCL5,2,12,8,10,31,16
ASF1A,762,488,612,1121,789,500
ASF1B,82,9,20,63,50,100
ASGR1,93,61,54,25,106,267
ASGR2,44,36,18,27,51,307
ASH1L,4239,5881,6836,7235,8178,4014
ASH2L,2071,1961,2683,2643,3195,1646
ASIC1,172,149,253,119,833,396
ASIC2,0,16,3,8,4,11
ASIC3,512,194,204,216,239,281
ASIC4,32,21,3,8,57,46
ASIC5,0,0,0,1,0,0
ASIP,53,8,0,9,8,4
ASL,1526,1406,2041,1726,1632,1734
ASMT,8,4,1,9,35,27
ASMTL,1139,2302,2633,2930,2374,1898
ASNA1,2304,2552,3287,2639,2939,1767
ASNS,811,3121,1515,1526,1772,1732
ASNSD1,2034,1761,1592,1724,3130,1432
ASPA,686,187,129,197,845,1140
ASPDH,0,3,4,1,11,38
ASPG,170,172,401,420,1029,136
ASPH,7696,6642,8971,9404,13988,6026
ASPHD1,61,67,14,25,51,19
ASPHD2,25,89,44,69,55,86
ASPM,113,12,16,64,22,78
ASPN,1529,3666,12287,19921,5668,3612
ASPRV1,163,62,118,120,312,299
ASPSCR1,1128,1185,1305,1399,1123,1112
ASRGL1,297,166,256,112,1148,442
ASS1,9299,6979,4969,4087,14640,4197
ASTE1,383,211,258,601,579,488
ASTL,9,4,3,4,0,5
ASTN1,59,51,2,24,515,99
ASTN2,229,437,290,284,755,226
ASTN2-AS1,0,2,0,0,0,0
ASXL1,5144,5434,6579,6539,8952,8218
ASXL2,1756,2105,2234,2603,2876,1593
ASXL3,362,227,364,632,434,183
ASZ1,0,0,0,0,0,0
ATAD1,3103,2486,2947,2947,3117,1604
ATAD2,1201,1065,1580,2026,923,636
ATAD2B,1040,1208,1110,1275,1361,1539
ATAD3A,1014,2282,1608,987,1215,1199
ATAD3B,806,1455,1392,932,1145,1741
ATAD3C,173,248,145,60,242,259
ATAD5,206,66,81,139,258,248
ATAT1,642,631,966,680,898,1232
ATCAY,18,2,2,10,40,0
ATE1,1999,1709,1960,1689,1989,1041
ATE1-AS1,22,2,80,79,27,14
ATF1,861,697,947,1037,1246,741
ATF2,2319,2263,2628,3155,3394,2262
ATF3,2634,3037,3813,2760,4350,4573
ATF4,15971,37793,35176,35059,31588,22956
ATF5,680,2369,1318,960,3862,2001
ATF6,2152,3660,4123,3566,3909,1822
ATF6B,3126,3795,5435,5515,5537,4419
ATF7,2839,5683,7174,5806,5115,3715
ATF7IP,2079,2124,1625,2160,2362,1371
ATF7IP2,573,287,218,315,274,376
ATG10,303,199,408,421,261,271
ATG101,460,633,969,659,1035,425
ATG12,1981,2112,2281,3195,3835,2606
ATG13,3447,3395,4418,5363,6723,3227
ATG14,1927,768,1230,2890,2803,2424
ATG16L1,1267,1922,2459,2333,2043,1747
ATG16L2,3388,1272,1742,3309,3443,4045
ATG2A,2018,2097,2291,3372,3070,2358
ATG2B,3265,2039,3113,3961,5234,4246
ATG3,1651,2229,2405,2330,2311,1818
ATG4A,896,792,893,660,788,604
ATG4B,3108,3062,3247,3827,3939,4027
ATG4C,656,578,611,976,884,558
ATG4D,1064,520,666,819,579,596
ATG5,1158,1470,1900,2186,1888,1250
ATG7,827,1426,1273,1134,1220,1409
ATG9A,5257,4383,5480,5792,5405,3487
ATG9B,86,58,82,21,171,118
ATIC,1549,4486,3858,3291,2416,1556
ATL1,275,581,871,904,698,326
ATL2,1870,1597,2551,3344,2899,1958
ATL3,4837,14541,18502,13930,12192,7831
ATM,3270,2310,3045,4292,5348,3938
ATMIN,2568,2242,2484,3080,3793,2154
ATN1,13965,30566,32497,23778,30040,22103
ATOH1,0,0,0,2,0,0
ATOH7,9,0,0,6,23,4
ATOH8,3788,5016,12726,7881,7689,1816
ATOX1,1208,1660,2033,1751,1503,1295
ATP10A,978,3164,7008,5368,2567,1450
ATP10B,92,59,59,25,26,38
ATP10D,1847,2168,3154,4119,2884,2273
ATP11A,4137,2098,1259,1597,3535,2600
ATP11A-AS1,1,0,0,0,4,0
ATP11B,2231,2317,2536,3219,3539,1694
ATP11C,1375,3108,1971,2766,2903,2485
ATP12A,0,1,0,18,0,0
ATP13A1,2652,4526,3999,4714,3809,4465
ATP13A2,1958,2322,1776,1864,1862,1984
ATP13A3,5520,5625,6308,7921,5610,4339
ATP13A4,27,11,20,20,2,16
ATP13A5,4,0,0,0,0,1
ATP1A1,15639,35172,20005,13429,21523,7770
ATP1A1-AS1,111,186,154,170,81,114
ATP1A2,21688,6093,12532,19053,12157,4782
ATP1A3,4524,6,6,24,239,11
ATP1A4,34,12,14,23,61,31
ATP1B1,5200,641,1732,1707,2220,1051
ATP1B2,999,194,150,770,2130,1381
ATP1B3,4426,8937,9127,4317,8725,4055
ATP1B4,11,6,2,2,29,4
ATP23,233,201,310,384,379,148
ATP2A1,153,213,264,62,110,131
ATP2A1-AS1,4,4,2,1,8,3
ATP2A2,65650,30221,36451,32871,25254,12997
ATP2A3,1736,4299,1533,4429,2779,4041
ATP2B1,1446,1269,1410,1809,2118,2209
ATP2B2,44,4,7,38,94,10
ATP2B2-IT2,0,0,0,0,0,0
ATP2B3,8,12,23,31,50,143
ATP2B4,14936,18228,26928,17161,23076,11958
ATP2C1,4325,4216,4373,4274,4931,3339
ATP2C2,43,8,52,19,40,24
ATP2C2-AS1,24,11,22,43,22,34
ATP4A,4,6,8,6,2,12
ATP4B,2,8,0,4,16,15
ATP5A1,61353,15827,20955,17169,20749,12084
ATP5B,66439,23899,27293,17270,26271,14168
ATP5C1,15159,4981,6343,6125,6045,3440
ATP5D,6924,3293,4120,3139,3725,2662
ATP5E,10863,7699,10408,7681,7662,6593
ATP5F1,11443,4668,5580,5452,6123,3851
ATP5G1,4109,2745,2818,1393,1630,1273
ATP5G2,9422,6887,7578,8646,8982,6471
ATP5G3,16105,5263,5645,4220,5859,3488
ATP5H,8555,4693,4991,4537,4475,2223
ATP5I,1896,1029,1279,1072,1026,819
ATP5J,7533,2352,3299,4154,3289,1869
ATP5J2,3696,2449,2925,1999,2242,1726
ATP5L,7052,3387,4210,3745,4723,2658
ATP5L2,0,0,2,0,0,1
ATP5O,12945,3906,5723,5427,6691,3807
ATP5S,637,229,238,314,552,367
DMAC2,3352,2158,3028,2654,2564,1571
ATP6AP1,6940,5801,9064,8667,6607,5106
ATP6AP1L,404,197,645,519,327,610
ATP6AP2,4896,6656,9923,10227,9841,5173
ATP6V0A1,2496,2350,3160,4099,3846,4048
ATP6V0A2,1309,1108,1063,1318,1714,1841
ATP6V0A4,2,0,0,2,0,0
ATP6V0B,2772,3815,3266,4856,3302,3135
ATP6V0C,6416,6648,8511,6766,6277,4258
ATP6V0D1,3052,3278,4908,3530,3580,3691
ATP6V0D2,2,0,0,27,0,3
ATP6V0E1,5433,6853,9785,8512,7343,4605
ATP6V0E2,2174,577,1021,1447,1238,863
ATP6V0E2-AS1,69,26,75,106,129,116
ATP6V1A,2044,1543,1574,2211,2859,1751
ATP6V1B1,297,123,64,124,152,247
ATP6V1B2,5133,4610,5044,5879,6815,5295
ATP6V1C1,2508,2323,3067,3400,4509,2469
ATP6V1C2,180,83,107,62,153,224
ATP6V1D,3993,1958,2912,2426,1672,1039
ATP6V1E1,7301,7741,10606,9637,7315,3927
ATP6V1E2,140,140,179,290,403,195
ATP6V1F,2491,2438,3318,3383,3235,1972
ATP6V1G1,2820,3000,4270,4451,3785,2316
ATP6V1G2,72,51,107,147,87,80
ATP6V1G3,0,1,0,0,0,0
ATP6V1H,2377,2041,3153,3782,2275,1507
ATP7A,675,806,1062,1344,1308,765
ATP7B,817,543,447,522,895,489
ATP8A1,2243,524,942,1797,3946,3206
ATP8A2,23,12,2,12,24,39
ATP8B1,2146,2461,4447,5701,3386,2657
ATP8B2,3404,9278,14442,10246,8806,6328
ATP8B3,169,56,42,90,332,344
ATP8B4,539,275,191,590,1306,1410
ATP8B5P,64,44,24,64,37,79
ATP9A,2020,5425,7716,6930,6385,3039
ATP9B,920,1306,1465,1755,1551,1057
ATPAF1,6506,2111,2952,3705,2894,1888
ATPAF2,779,543,673,804,513,557
ATPIF1,4906,1633,2059,2149,2524,2974
ATR,1210,1631,1453,1415,1769,1589
ATRAID,3219,3577,4799,5457,6670,3164
ATRIP,420,524,584,756,613,382
ATRN,3114,3423,3221,3369,4711,2633
ATRNL1,132,207,406,1433,18,251
ATRX,4643,3589,5528,5937,5967,3578
ATXN1,1943,2281,3848,5290,3814,2830
ATXN10,4481,4871,6107,5039,4545,3218
ATXN1L,2982,3357,3799,3637,5777,2765
ATXN2,2555,3697,3998,4168,3242,3213
ATXN2-AS,1,11,11,17,1,11
ATXN2L,5353,9128,9661,8757,7521,9996
ATXN3,1541,786,989,1350,1661,1352
ATXN3L,0,0,0,0,0,0
ATXN7,1542,2066,2040,2263,2412,2275
ATXN7L1,503,456,618,609,706,608
ATXN7L2,517,382,359,374,581,756
ATXN7L3,3033,3563,4227,3748,4772,4277
ATXN7L3B,3286,2511,3810,3749,4858,3235
AUH,1372,519,676,858,1109,649
AUNIP,31,17,26,23,39,6
AUP1,3653,5689,6554,5180,5120,4298
AURKA,260,59,103,74,155,96
AURKAIP1,3342,2883,3475,2346,2777,2109
AURKB,66,4,7,27,29,79
AURKC,76,60,113,121,102,106
AUTS2,729,2893,2748,2341,1729,2615
AVEN,840,1679,2834,1129,1225,517
AVIL,408,340,236,303,350,715
AVL9,1615,1325,1659,1780,2805,2114
AVP,0,4,4,0,10,0
AVPI1,639,1001,2539,1187,1811,598
AVPR1A,326,62,128,121,222,85
AVPR1B,0,0,0,0,2,2
AVPR2,556,55,165,209,370,290
AWAT1,4,0,0,0,3,0
AWAT2,0,0,0,2,1,2
AXDND1,0,2,2,6,7,12
AXIN1,1133,1779,2267,2144,2147,1515
AXIN2,754,1091,1064,1078,2740,714
AXL,5009,14574,15406,14316,8791,4076
AZGP1,2599,165,602,28,2694,615
AZGP1P1,1,0,1,0,10,3
AZI2,848,1235,1072,1077,1756,534
AZIN1,5788,6587,6286,6700,6235,2743
AZIN2,272,123,117,406,395,591
AZU1,2,0,2,2,26,42
B3GALNT1,2169,657,785,1548,1923,1217
B3GALNT2,544,961,1011,788,1160,497
B3GALT1,14,10,10,6,35,18
B3GALT2,1302,6,34,120,54,22
B3GALT4,466,263,696,1043,834,595
B3GALT5,24,2,16,18,6,14
B3GALT5-AS1,0,0,0,0,0,0
B3GALT6,852,1102,1421,1036,1355,1070
B3GAT1,71,55,31,31,129,65
B3GAT2,84,83,145,99,83,129
B3GAT3,1216,2386,2371,2073,1645,2490
B3GLCT,1287,483,689,732,1106,379
B3GNT2,1592,635,1832,2087,2170,1157
B3GNT3,4,2,24,2,16,60
B3GNT4,11,6,12,4,20,10
B3GNT5,352,104,58,130,438,239
B3GNT6,0,0,0,0,0,0
B3GNT7,126,300,345,652,265,215
B3GNT8,195,105,267,267,205,200
B3GNT9,641,1098,1736,2211,1649,1518
B3GNTL1,190,275,238,220,217,316
B4GALNT1,428,843,638,530,318,368
B4GALNT2,0,0,0,0,0,0
B4GALNT3,2247,1150,1806,2197,685,1503
B4GALNT4,190,325,112,86,123,240
B4GALT1,4996,10686,7545,5413,11911,3924
B4GALT2,1566,3758,4420,2159,2187,2133
B4GALT3,1496,2400,1870,2214,2485,1771
B4GALT4,1019,1291,1699,1488,1785,1377
B4GALT4-AS1,0,0,0,0,2,0
B4GALT5,3265,4385,4526,3053,4376,2755
B4GALT6,189,112,72,69,162,161
B4GALT7,876,1654,1191,1319,1242,1171
B4GAT1,2473,1190,2100,2204,2943,1027
B9D1,290,346,439,421,425,231
B9D2,118,126,162,250,163,119
BAALC,233,151,111,71,259,264
BAALC-AS2,0,3,2,0,0,7
BAAT,4,3,2,2,7,14
BABAM1,2898,2698,4017,3371,2939,2455
BABAM2,2007,1604,1810,2310,1873,1352
BACE1,2154,3542,4296,3856,4178,2398
BACE2,2495,12174,5138,7671,8225,5061
GRIK1-AS2,1463,1619,2038,3268,2111,2134
BACH2,202,198,183,221,403,133
BAD,1150,1200,1700,2125,1479,1178
BAG1,2719,3343,3495,3098,3398,1903
BAG2,1309,2425,3881,2881,2493,1408
BAG3,5657,6526,7703,4859,4303,2885
BAG4,709,575,762,1341,1053,820
BAG5,1873,1921,2426,2654,3907,2040
BAG6,10157,9912,12193,10703,13151,8908
BAHD1,1444,1355,2019,2717,2297,1611
